id,name,description,synthesis_type,key_feature,genre_tags,weirdness_level
1,Modem Processor,Hybrid synthesis combining multiple modem characteristics,fm,harmonic excitation,Experimental;Ambient;Chiptune,8
2,Floppy Synth,Wavetable morphing based on floppy waveforms,subtractive,spectral morphing,Digital;Retro;Lo-Fi,7
3,CRT Modulator,Additive synthesis recreating crt spectra,wavetable,formant filtering,Experimental;Lo-Fi;Chiptune,2
4,Dial-Up Processor,Physical modeling of dial-up acoustic properties,granular,granular freeze,Ambient;Lo-Fi;Retro,8
5,Dot Matrix Sequencer,Hybrid synthesis combining multiple dot matrix characteristics,physical_modeling,convolution,Lo-Fi;Glitch;Industrial,2
6,Punch Card Synth,Punch Card patterns drive oscillator and modulation parameters,additive,time stretching,Digital;Ambient;Experimental,8
7,ENIAC Synth,ENIAC patterns drive oscillator and modulation parameters,sample_based,spectral morphing,Experimental;Chiptune;Lo-Fi,6
8,BBS Processor,FM synthesis capturing bbs harmonic relationships,feedback,spectral morphing,Chiptune;Lo-Fi;Industrial,8
9,Hard Drive Synth,Hard Drive-inspired synthesis with unique timbral characteristics,noise,comb filtering,Experimental;Industrial;Chiptune,5
10,Serial Synth,FM synthesis capturing serial harmonic relationships,hybrid,granular density,Retro;Lo-Fi;Glitch,4
11,Parallel Synth,Hybrid synthesis combining multiple parallel characteristics,fm,pattern sequencing,Experimental;Ambient;Lo-Fi,2
12,Vacuum Tube Oscillator,FM synthesis capturing vacuum tube harmonic relationships,subtractive,spectral freeze,Experimental;Glitch;Retro,4
13,Transistor Synth,FM synthesis capturing transistor harmonic relationships,wavetable,sample rate reduction,Ambient;Experimental;Industrial,8
14,Calculator Synth,Models calculator behavior using advanced DSP techniques,granular,harmonic excitation,Retro;Chiptune;Digital,2
15,Atari Synth,Feedback network simulating atari dynamics,physical_modeling,filter topology,Retro;Experimental;Industrial,8
16,Teletext Sequencer,Models teletext behavior using advanced DSP techniques,additive,granular freeze,Lo-Fi;Experimental;Glitch,3
17,Fax Engine,Models fax behavior using advanced DSP techniques,sample_based,physical resonance,Ambient;Lo-Fi;Industrial,8
18,Boot Engine,Models boot behavior using advanced DSP techniques,feedback,sample rate reduction,Digital;Retro;Lo-Fi,3
19,Command Line Synth,Wavetable morphing based on command line waveforms,noise,stochastic triggering,Glitch;Lo-Fi;Digital,3
20,Tape Synth,FM synthesis capturing tape harmonic relationships,hybrid,spectral freeze,Ambient;Retro;Digital,8
21,Memory Synth,Wavetable morphing based on memory waveforms,fm,spectral blur,Lo-Fi;Experimental;Digital,7
22,Network Synth,Network-inspired synthesis with unique timbral characteristics,subtractive,envelope shaping,Lo-Fi;Glitch;Retro,5
23,CPU Oscillator,Granular processing inspired by cpu textures,wavetable,granular density,Digital;Experimental;Ambient,2
24,Sinclair Generator,Sinclair patterns drive oscillator and modulation parameters,granular,filter topology,Digital;Lo-Fi;Retro,4
25,TRS-80 Synth,Hybrid synthesis combining multiple trs-80 characteristics,physical_modeling,phase distortion,Lo-Fi;Chiptune;Ambient,3
26,Commodore Modulator,Hybrid synthesis combining multiple commodore characteristics,additive,recursive feedback,Chiptune;Glitch;Lo-Fi,8
27,BBC Micro Synth,Physical modeling of bbc micro acoustic properties,sample_based,stochastic triggering,Ambient;Digital;Chiptune,3
28,Apple II Filter,Feedback network simulating apple ii dynamics,feedback,pitch shifting,Ambient;Industrial;Experimental,4
29,Plotter Oscillator,Granular processing inspired by plotter textures,noise,physical resonance,Experimental;Digital;Glitch,7
30,OCR Modulator,OCR patterns drive oscillator and modulation parameters,hybrid,chaos modulation,Glitch;Retro;Industrial,9
31,Paper Tape Synth,Paper Tape-inspired synthesis with unique timbral characteristics,fm,allpass diffusion,Lo-Fi;Ambient;Retro,9
32,Telex Synth,FM synthesis capturing telex harmonic relationships,subtractive,sample rate reduction,Glitch;Ambient;Lo-Fi,8
33,Morse Oscillator,Models morse behavior using advanced DSP techniques,wavetable,convolution,Retro;Ambient;Digital,2
34,Telegraph Filter,FM synthesis capturing telegraph harmonic relationships,granular,frequency shifting,Industrial;Chiptune;Glitch,4
35,Rectifier Oscillator,Hybrid synthesis combining multiple rectifier characteristics,physical_modeling,wavefolding,Experimental;Digital;Chiptune,8
36,Triode Synth,Additive synthesis recreating triode spectra,additive,comb filtering,Lo-Fi;Industrial;Retro,7
37,Cathode Oscillator,Physical modeling of cathode acoustic properties,sample_based,wavetable scanning,Chiptune;Retro;Lo-Fi,5
38,Phosphor Synth,Granular processing inspired by phosphor textures,feedback,harmonic series,Glitch;Ambient;Chiptune,6
39,Scan Line Oscillator,Models scan line behavior using advanced DSP techniques,noise,filter topology,Ambient;Retro;Digital,5
40,NTSC Synth,Physical modeling of ntsc acoustic properties,hybrid,convolution,Retro;Lo-Fi;Ambient,9
41,Magnetic Resonator,Magnetic patterns drive oscillator and modulation parameters,fm,fractal generation,Ambient;Retro;Experimental,8
42,Ferrite Generator,FM synthesis capturing ferrite harmonic relationships,subtractive,feedback routing,Digital;Experimental;Retro,5
43,Spark Gap Synth,Physical modeling of spark gap acoustic properties,wavetable,bit crushing,Industrial;Ambient;Retro,3
44,Crystal Radio Engine,Wavetable morphing based on crystal radio waveforms,granular,ring modulation,Glitch;Experimental;Industrial,3
45,Phonograph Processor,FM synthesis capturing phonograph harmonic relationships,physical_modeling,bit crushing,Retro;Lo-Fi;Industrial,8
46,Shellac Processor,Wavetable morphing based on shellac waveforms,additive,phase distortion,Digital;Lo-Fi;Chiptune,4
47,Wax Cylinder Synth,Models wax cylinder behavior using advanced DSP techniques,sample_based,convolution,Lo-Fi;Glitch;Digital,6
48,Bakelite Synth,Feedback network simulating bakelite dynamics,feedback,granular density,Chiptune;Ambient;Industrial,2
49,PCB Trace Synth,PCB Trace-inspired synthesis with unique timbral characteristics,noise,wavefolding,Glitch;Digital;Experimental,4
50,Solder Synth,Feedback network simulating solder dynamics,hybrid,physical resonance,Retro;Digital;Ambient,9
51,Potentiometer Modulator,Hybrid synthesis combining multiple potentiometer characteristics,fm,granular freeze,Digital;Ambient;Glitch,5
52,Stepper Generator,Models stepper behavior using advanced DSP techniques,subtractive,phase distortion,Industrial;Retro;Glitch,8
53,Servo Synth,Feedback network simulating servo dynamics,wavetable,wavefolding,Retro;Glitch;Ambient,4
54,PWM Synth,Feedback network simulating pwm dynamics,granular,fractal generation,Retro;Ambient;Industrial,4
55,Capacitor Synth,FM synthesis capturing capacitor harmonic relationships,physical_modeling,formant filtering,Ambient;Retro;Industrial,6
56,Transistor Sequencer,Wavetable morphing based on transistor waveforms,additive,filter topology,Retro;Chiptune;Experimental,7
57,Diode Sequencer,Hybrid synthesis combining multiple diode characteristics,sample_based,frequency shifting,Ambient;Digital;Experimental,2
58,MOSFET Resonator,Additive synthesis recreating mosfet spectra,feedback,stochastic triggering,Ambient;Glitch;Experimental,5
59,Zener Synth,Zener patterns drive oscillator and modulation parameters,noise,bit crushing,Digital;Experimental;Lo-Fi,2
60,Thermistor Synth,Thermistor patterns drive oscillator and modulation parameters,hybrid,harmonic mapping,Experimental;Chiptune;Industrial,3
61,Photoresistor Synth,Wavetable morphing based on photoresistor waveforms,fm,wavetable scanning,Digital;Retro;Lo-Fi,6
62,Solar Cell Synth,Granular processing inspired by solar cell textures,subtractive,harmonic excitation,Chiptune;Glitch;Digital,8
63,LED Synth,Models led behavior using advanced DSP techniques,wavetable,feedback routing,Ambient;Industrial;Digital,3
64,Optocoupler Synth,Feedback network simulating optocoupler dynamics,granular,fractal generation,Industrial;Lo-Fi;Chiptune,5
65,LDR Resonator,LDR-inspired synthesis with unique timbral characteristics,physical_modeling,phase distortion,Lo-Fi;Glitch;Retro,4
66,Tape Saturation Oscillator,Tape Saturation-inspired synthesis with unique timbral characteristics,additive,pattern sequencing,Ambient;Lo-Fi;Glitch,4
67,Demagnetization Sequencer,Wavetable morphing based on demagnetization waveforms,sample_based,stochastic triggering,Lo-Fi;Industrial;Chiptune,6
68,Hysteresis Synth,Granular processing inspired by hysteresis textures,feedback,modulation matrix,Industrial;Lo-Fi;Chiptune,2
69,Eddy Current Synth,FM synthesis capturing eddy current harmonic relationships,noise,physical resonance,Glitch;Experimental;Lo-Fi,2
70,Transformer Resonator,Transformer patterns drive oscillator and modulation parameters,hybrid,spectral morphing,Industrial;Chiptune;Lo-Fi,7
71,Y2K Engine,Wavetable morphing based on y2k waveforms,fm,spectral freeze,Ambient;Retro;Experimental,2
72,Blue Screen Resonator,Feedback network simulating blue screen dynamics,subtractive,spectral freeze,Experimental;Glitch;Industrial,7
73,Defrag Synth,Defrag patterns drive oscillator and modulation parameters,wavetable,chaos modulation,Digital;Industrial;Experimental,6
74,Dial Tone Modulator,Models dial tone behavior using advanced DSP techniques,granular,ring modulation,Retro;Glitch;Ambient,7
75,Touch Tone Engine,Touch Tone-inspired synthesis with unique timbral characteristics,physical_modeling,modulation matrix,Industrial;Ambient;Glitch,2
76,Busy Signal Modulator,Busy Signal patterns drive oscillator and modulation parameters,additive,spectral freeze,Digital;Ambient;Glitch,6
77,Ring Cycle Synth,Granular processing inspired by ring cycle textures,sample_based,convolution,Ambient;Chiptune;Glitch,4
78,Off Hook Synth,Physical modeling of off hook acoustic properties,feedback,convolution,Industrial;Ambient;Lo-Fi,4
79,Area Code Synth,Wavetable morphing based on area code waveforms,noise,phase distortion,Lo-Fi;Ambient;Industrial,9
80,Long Distance Synth,Wavetable morphing based on long distance waveforms,hybrid,formant filtering,Glitch;Chiptune;Industrial,8
81,Rotary Oscillator,Feedback network simulating rotary dynamics,fm,harmonic series,Experimental;Industrial;Digital,4
82,Phone Booth Oscillator,Phone Booth patterns drive oscillator and modulation parameters,subtractive,spectral morphing,Lo-Fi;Retro;Industrial,6
83,Answering Machine Synth,FM synthesis capturing answering machine harmonic relationships,wavetable,chaos modulation,Ambient;Retro;Industrial,7
84,Cordless Synth,FM synthesis capturing cordless harmonic relationships,granular,spectral blur,Ambient;Retro;Industrial,8
85,Acoustic Coupler Generator,Additive synthesis recreating acoustic coupler spectra,physical_modeling,spectral blur,Ambient;Retro;Industrial,3
86,Party Line Resonator,Feedback network simulating party line dynamics,additive,pitch shifting,Ambient;Chiptune;Digital,8
87,Operator Synth,Operator patterns drive oscillator and modulation parameters,sample_based,pattern sequencing,Glitch;Experimental;Retro,8
88,Time Announce Synth,Physical modeling of time announce acoustic properties,feedback,spectral morphing,Chiptune;Retro;Industrial,8
89,Weather Service Synth,Hybrid synthesis combining multiple weather service characteristics,noise,formant filtering,Digital;Ambient;Lo-Fi,7
90,Emergency Engine,Models emergency behavior using advanced DSP techniques,hybrid,harmonic series,Lo-Fi;Digital;Chiptune,3
91,Payphone Synth,Payphone patterns drive oscillator and modulation parameters,fm,chaos modulation,Digital;Industrial;Retro,8
92,Phone Card Synth,Phone Card-inspired synthesis with unique timbral characteristics,subtractive,convolution,Industrial;Experimental;Glitch,2
93,Voicemail Synth,Physical modeling of voicemail acoustic properties,wavetable,spectral freeze,Industrial;Ambient;Retro,7
94,Conference Synth,Conference patterns drive oscillator and modulation parameters,granular,harmonic series,Glitch;Ambient;Lo-Fi,2
95,Modem Synth,Feedback network simulating modem dynamics,physical_modeling,ring modulation,Ambient;Lo-Fi;Experimental,2
96,Floppy Synth,Models floppy behavior using advanced DSP techniques,additive,sample rate reduction,Chiptune;Lo-Fi;Industrial,5
97,CRT Oscillator,Models crt behavior using advanced DSP techniques,sample_based,chaos modulation,Chiptune;Retro;Lo-Fi,6
98,Dial-Up Synth,Physical modeling of dial-up acoustic properties,feedback,pitch shifting,Digital;Industrial;Lo-Fi,5
99,Dot Matrix Synth,Dot Matrix patterns drive oscillator and modulation parameters,noise,sample rate reduction,Lo-Fi;Industrial;Retro,3
100,Punch Card Synth,FM synthesis capturing punch card harmonic relationships,hybrid,pattern sequencing,Retro;Ambient;Digital,9
101,Moog Generator,Moog patterns drive oscillator and modulation parameters,hybrid,harmonic excitation,Experimental;Acid;Synthwave,8
102,Buchla Synth,Feedback network simulating buchla dynamics,subtractive,formant filtering,Ambient;Progressive;Synthwave,8
103,ARP Synth,ARP patterns drive oscillator and modulation parameters,fm,wavetable scanning,Synthwave;Drone;Progressive,8
104,Oberheim Synth,Feedback network simulating oberheim dynamics,wavetable,ring modulation,Industrial;Synthwave;Techno,5
105,Prophet Synth,Prophet-inspired synthesis with unique timbral characteristics,additive,pattern sequencing,Drone;Ambient;Techno,6
106,Juno Synth,Hybrid synthesis combining multiple juno characteristics,feedback,formant filtering,Industrial;Synthwave;Experimental,9
107,Jupiter Synth,Jupiter-inspired synthesis with unique timbral characteristics,noise,chaos modulation,Experimental;Techno;Drone,8
108,TB-303 Synth,Models tb-303 behavior using advanced DSP techniques,granular,phase distortion,Industrial;Acid;Ambient,5
109,TR-808 Synth,Hybrid synthesis combining multiple tr-808 characteristics,sample_based,chaos modulation,Industrial;Experimental;Synthwave,9
110,TR-909 Engine,TR-909-inspired synthesis with unique timbral characteristics,physical_modeling,granular density,Techno;Ambient;Experimental,2
